practice_id,role_id,r_a,
"""BAI03.05""",18,R,"""""BAI03.05"""""
"""BAI03.05""",19,,"""""BAI03.05"""""
"""BAI03.05""",20,,"""""BAI03.05"""""
"""BAI03.05""",21,,"""""BAI03.05"""""
"""BAI03.05""",22,,"""""BAI03.05"""""
"""BAI03.05""",23,R,"""""BAI03.05"""""
"""BAI03.05""",24,,"""""BAI03.05"""""
"""BAI03.05""",25,,"""""BAI03.05"""""
"""BAI03.05""",26,,"""""BAI03.05"""""
"""BAI03.05""",27,,"""""BAI03.05"""""
"""BAI03.05""",28,,"""""BAI03.05"""""
"""BAI03.05""",29,,"""""BAI03.05"""""
"""BAI03.05""",30,,"""""BAI03.05"""""
"""BAI03.05""",31,,"""""BAI03.05"""""
"""BAI03.05""",32,,"""""BAI03.05"""""
"""BAI03.05""",33,,"""""BAI03.05"""""
"""BAI03.06""",1,,"""""BAI03.06"""""
"""BAI03.06""",2,,"""""BAI03.06"""""
"""BAI03.06""",3,,"""""BAI03.06"""""
"""BAI03.06""",4,,"""""BAI03.06"""""
"""BAI03.06""",5,,"""""BAI03.06"""""
"""BAI03.06""",6,,"""""BAI03.06"""""
"""BAI03.06""",7,R,"""""BAI03.06"""""
"""BAI03.06""",8,,"""""BAI03.06"""""
"""BAI03.06""",9,,"""""BAI03.06"""""
"""BAI03.06""",10,,"""""BAI03.06"""""
"""BAI03.06""",11,,"""""BAI03.06"""""
"""BAI03.06""",12,,"""""BAI03.06"""""
"""BAI03.06""",13,,"""""BAI03.06"""""
"""BAI03.06""",14,R,"""""BAI03.06"""""
"""BAI03.06""",15,A,"""""BAI03.06"""""
"""BAI03.06""",16,R,"""""BAI03.06"""""
"""BAI03.06""",17,R,"""""BAI03.06"""""
"""BAI03.06""",18,R,"""""BAI03.06"""""
"""BAI03.06""",19,,"""""BAI03.06"""""
"""BAI03.06""",20,,"""""BAI03.06"""""
"""BAI03.06""",21,,"""""BAI03.06"""""
"""BAI03.06""",22,,"""""BAI03.06"""""
"""BAI03.06""",23,R,"""""BAI03.06"""""
"""BAI03.06""",24,,"""""BAI03.06"""""
"""BAI03.06""",25,,"""""BAI03.06"""""
"""BAI03.06""",26,,"""""BAI03.06"""""
"""BAI03.06""",27,,"""""BAI03.06"""""
"""BAI03.06""",28,,"""""BAI03.06"""""
"""BAI03.06""",29,,"""""BAI03.06"""""
"""BAI03.06""",30,,"""""BAI03.06"""""
"""BAI03.06""",31,,"""""BAI03.06"""""
"""BAI03.06""",32,,"""""BAI03.06"""""
